9.91e+037,9.91e+037,9.91e+037,0,0
121.109,0.015535,0.0864662,2.40596e-005,1
121.114,0.0155121,0.0905558,4.9154e-005,2
121.116,0.0154902,0.0887504,7.38682e-005,3
121.146,0.0155226,0.0900563,9.88741e-005,4
121.143,0.0155,0.08758,0.000123274,5
121.118,0.0155252,0.0835741,0.00014643,6
121.132,0.0155205,0.0891026,0.00017116,7
121.138,0.0155493,0.0875366,0.000195454,8
121.087,0.0156314,0.086509,0.000219454,9
121.04,0.0156373,0.0896147,0.000244329,10
121.104,0.0155291,0.0892493,0.000269151,11
121.133,0.0155449,0.0893428,0.000293878,12
121.116,0.0154976,0.0907983,0.00031905,13
121.109,0.015499,0.0888109,0.000343681,14
121.167,0.0155815,0.0848926,0.000367376,15
121.123,0.015586,0.0892654,0.000392198,16
121.174,0.0155603,0.090138,0.000417327,17
121.163,0.0155502,0.0888662,0.00044187,18
121.102,0.0155049,0.0856347,0.00046575,19
121.117,0.0155267,0.0922064,0.000491383,20
121.074,0.0156437,0.0841911,0.000514864,21
121.082,0.0155616,0.0875098,0.000539227,22
121.071,0.0155253,0.0881092,0.000563755,23
121.075,0.0155469,0.0894212,0.000588502,24
121.107,0.0155537,0.085838,0.000612389,25
121.089,0.0154736,0.0786337,0.000633988,26
121.098,0.0155628,0.0958236,0.000660551,27
121.099,0.0155025,0.0889367,0.000685242,28
121.08,0.0155094,0.0832626,0.000708525,29
121.077,0.0155246,0.0894815,0.000733481,30
121.11,0.0154979,0.0890311,0.000733481,30
